Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.001_ns100_bs256_ep10_ia0_el10_ftzero_shot_20250410-155739
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 64       |
|    n_steps            | 100      |
| rollout/              |          |
|    ep_len_mean        | 1.59     |
|    ep_rew_mean        | -0.164   |
|    success_rate       | 0.968    |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 147      |
|    total_timesteps    | 100      |
------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 139         |
|    n_steps              | 200         |
| rollout/                |             |
|    ep_len_mean          | 1.32        |
|    ep_rew_mean          | -0.0743     |
|    success_rate         | 1           |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 2           |
|    time_elapsed         | 283         |
|    total_timesteps      | 200         |
| train/                  |             |
|    approx_kl            | 0.023610849 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.233       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0271     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0348     |
|    value_loss           | 0.197       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 207         |
|    n_steps              | 300         |
| rollout/                |             |
|    ep_len_mean          | 1.42        |
|    ep_rew_mean          | -0.13       |
|    success_rate         | 0.98        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 3           |
|    time_elapsed         | 417         |
|    total_timesteps      | 300         |
| train/                  |             |
|    approx_kl            | 0.013059945 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | -0.368      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0382     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0286     |
|    value_loss           | 0.0645      |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 278        |
|    n_steps              | 400        |
| rollout/                |            |
|    ep_len_mean          | 1.38       |
|    ep_rew_mean          | -0.102     |
|    success_rate         | 0.99       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 4          |
|    time_elapsed         | 547        |
|    total_timesteps      | 400        |
| train/                  |            |
|    approx_kl            | 0.02032504 |
|    clip_fraction        | 0.109      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.91      |
|    explained_variance   | 0.255      |
|    learning_rate        | 0.001      |
|    loss                 | -0.0167    |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.0248    |
|    value_loss           | 0.157      |
----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 347         |
|    n_steps              | 500         |
| rollout/                |             |
|    ep_len_mean          | 1.38        |
|    ep_rew_mean          | -0.119      |
|    success_rate         | 0.99        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 5           |
|    time_elapsed         | 675         |
|    total_timesteps      | 500         |
| train/                  |             |
|    approx_kl            | 0.026201103 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.89       |
|    explained_variance   | -1.06       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0212     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0406     |
|    value_loss           | 0.223       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 416         |
|    n_steps              | 600         |
| rollout/                |             |
|    ep_len_mean          | 1.54        |
|    ep_rew_mean          | -0.144      |
|    success_rate         | 0.98        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 6           |
|    time_elapsed         | 810         |
|    total_timesteps      | 600         |
| train/                  |             |
|    approx_kl            | 0.014160071 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | -0.398      |
|    learning_rate        | 0.001       |
|    loss                 | -0.00105    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 0.241       |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 487        |
|    n_steps              | 700        |
| rollout/                |            |
|    ep_len_mean          | 1.41       |
|    ep_rew_mean          | -0.107     |
|    success_rate         | 0.99       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 7          |
|    time_elapsed         | 934        |
|    total_timesteps      | 700        |
| train/                  |            |
|    approx_kl            | 0.04448843 |
|    clip_fraction        | 0.263      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.75      |
|    explained_variance   | 0.451      |
|    learning_rate        | 0.001      |
|    loss                 | -0.021     |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0323    |
|    value_loss           | 0.0992     |
----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 556         |
|    n_steps              | 800         |
| rollout/                |             |
|    ep_len_mean          | 1.33        |
|    ep_rew_mean          | -0.074      |
|    success_rate         | 1           |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 8           |
|    time_elapsed         | 1068        |
|    total_timesteps      | 800         |
| train/                  |             |
|    approx_kl            | 0.023283126 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.64       |
|    explained_variance   | 0.302       |
|    learning_rate        | 0.001       |
|    loss                 | 0.0351      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0173     |
|    value_loss           | 0.213       |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 636        |
|    n_steps              | 900        |
| rollout/                |            |
|    ep_len_mean          | 1.29       |
|    ep_rew_mean          | -0.0839    |
|    success_rate         | 0.99       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 9          |
|    time_elapsed         | 1202       |
|    total_timesteps      | 900        |
| train/                  |            |
|    approx_kl            | 0.04133497 |
|    clip_fraction        | 0.413      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.59      |
|    explained_variance   | -1.24      |
|    learning_rate        | 0.001      |
|    loss                 | -0.028     |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0405    |
|    value_loss           | 0.0981     |
----------------------------------------
