Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.001_ns100_bs256_ep10_ia0_el10_ftzero_shot_20250424-112909
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 52       |
|    n_steps            | 100      |
| rollout/              |          |
|    ep_len_mean        | 1.92     |
|    ep_rew_mean        | -0.282   |
|    success_rate       | 0.922    |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 123      |
|    total_timesteps    | 100      |
------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 126         |
|    n_steps              | 200         |
| rollout/                |             |
|    ep_len_mean          | 1.58        |
|    ep_rew_mean          | -0.17       |
|    success_rate         | 0.97        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 2           |
|    time_elapsed         | 255         |
|    total_timesteps      | 200         |
| train/                  |             |
|    approx_kl            | 0.028765043 |
|    clip_fraction        | 0.211       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | -0.109      |
|    learning_rate        | 0.001       |
|    loss                 | 0.0263      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0408     |
|    value_loss           | 0.39        |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 187         |
|    n_steps              | 300         |
| rollout/                |             |
|    ep_len_mean          | 1.56        |
|    ep_rew_mean          | -0.147      |
|    success_rate         | 0.99        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 3           |
|    time_elapsed         | 381         |
|    total_timesteps      | 300         |
| train/                  |             |
|    approx_kl            | 0.014283087 |
|    clip_fraction        | 0.058       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | -2.58       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0541     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0304     |
|    value_loss           | 0.0622      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
