Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.001_ns100_bs256_ep10_ia0_el10_ftzero_shot_20250424-104302
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 53       |
|    n_steps            | 100      |
| rollout/              |          |
|    ep_len_mean        | 1.92     |
|    ep_rew_mean        | -0.251   |
|    success_rate       | 0.962    |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 128      |
|    total_timesteps    | 100      |
------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 122         |
|    n_steps              | 200         |
| rollout/                |             |
|    ep_len_mean          | 1.52        |
|    ep_rew_mean          | -0.137      |
|    success_rate         | 0.98        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 2           |
|    time_elapsed         | 255         |
|    total_timesteps      | 200         |
| train/                  |             |
|    approx_kl            | 0.017993774 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.00205     |
|    learning_rate        | 0.001       |
|    loss                 | 0.0712      |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0314     |
|    value_loss           | 0.341       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 182         |
|    n_steps              | 300         |
| rollout/                |             |
|    ep_len_mean          | 1.68        |
|    ep_rew_mean          | -0.166      |
|    success_rate         | 0.99        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 3           |
|    time_elapsed         | 388         |
|    total_timesteps      | 300         |
| train/                  |             |
|    approx_kl            | 0.011392471 |
|    clip_fraction        | 0.035       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | -0.309      |
|    learning_rate        | 0.001       |
|    loss                 | -0.00601    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 0.231       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 248         |
|    n_steps              | 400         |
| rollout/                |             |
|    ep_len_mean          | 1.63        |
|    ep_rew_mean          | -0.152      |
|    success_rate         | 0.98        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 4           |
|    time_elapsed         | 516         |
|    total_timesteps      | 400         |
| train/                  |             |
|    approx_kl            | 0.018430633 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | -0.21       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0358     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0348     |
|    value_loss           | 0.0806      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 292         |
|    n_steps              | 500         |
| rollout/                |             |
|    ep_len_mean          | 1.9         |
|    ep_rew_mean          | -0.243      |
|    success_rate         | 0.93        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 5           |
|    time_elapsed         | 645         |
|    total_timesteps      | 500         |
| train/                  |             |
|    approx_kl            | 0.008864262 |
|    clip_fraction        | 0.027       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | -0.0973     |
|    learning_rate        | 0.001       |
|    loss                 | 0.0239      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0148     |
|    value_loss           | 0.252       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 368         |
|    n_steps              | 600         |
| rollout/                |             |
|    ep_len_mean          | 1.48        |
|    ep_rew_mean          | -0.144      |
|    success_rate         | 0.97        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 6           |
|    time_elapsed         | 782         |
|    total_timesteps      | 600         |
| train/                  |             |
|    approx_kl            | 0.007689097 |
|    clip_fraction        | 0.054       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | 0.124       |
|    learning_rate        | 0.001       |
|    loss                 | 0.163       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0054     |
|    value_loss           | 0.511       |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 434        |
|    n_steps              | 700        |
| rollout/                |            |
|    ep_len_mean          | 1.47       |
|    ep_rew_mean          | -0.122     |
|    success_rate         | 0.99       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 7          |
|    time_elapsed         | 908        |
|    total_timesteps      | 700        |
| train/                  |            |
|    approx_kl            | 0.01657607 |
|    clip_fraction        | 0.1        |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.92      |
|    explained_variance   | 0.46       |
|    learning_rate        | 0.001      |
|    loss                 | 0.00654    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0176    |
|    value_loss           | 0.169      |
----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 488         |
|    n_steps              | 800         |
| rollout/                |             |
|    ep_len_mean          | 1.59        |
|    ep_rew_mean          | -0.147      |
|    success_rate         | 0.98        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 8           |
|    time_elapsed         | 1047        |
|    total_timesteps      | 800         |
| train/                  |             |
|    approx_kl            | 0.044000268 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.87       |
|    explained_variance   | -0.163      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0328     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0431     |
|    value_loss           | 0.085       |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 568        |
|    n_steps              | 900        |
| rollout/                |            |
|    ep_len_mean          | 1.48       |
|    ep_rew_mean          | -0.121     |
|    success_rate         | 0.98       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 9          |
|    time_elapsed         | 1173       |
|    total_timesteps      | 900        |
| train/                  |            |
|    approx_kl            | 0.01657006 |
|    clip_fraction        | 0.066      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.83      |
|    explained_variance   | 0.12       |
|    learning_rate        | 0.001      |
|    loss                 | 0.05       |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0259    |
|    value_loss           | 0.317      |
----------------------------------------
