Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.001_ns30_bs256_ep10_ia0_el10_ftzero_shot_20250408-153154
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 12       |
|    n_steps            | 30       |
| rollout/              |          |
|    ep_len_mean        | 2.73     |
|    ep_rew_mean        | -0.553   |
|    success_rate       | 0        |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 43       |
|    total_timesteps    | 30       |
------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 19          |
|    n_steps              | 60          |
| rollout/                |             |
|    ep_len_mean          | 3.33        |
|    ep_rew_mean          | -0.78       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 2           |
|    time_elapsed         | 78          |
|    total_timesteps      | 60          |
| train/                  |             |
|    approx_kl            | 0.017932868 |
|    clip_fraction        | 0.12        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.173       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0734     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0445     |
|    value_loss           | 0.149       |
-----------------------------------------
------------------------------------------
| env/                    |              |
|    completion_counter   | 0            |
|    current_idx          | 34           |
|    n_steps              | 90           |
| rollout/                |              |
|    ep_len_mean          | 2.73         |
|    ep_rew_mean          | -0.606       |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 3            |
|    time_elapsed         | 115          |
|    total_timesteps      | 90           |
| train/                  |              |
|    approx_kl            | 0.0064504608 |
|    clip_fraction        | 0.0233       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.93        |
|    explained_variance   | -0.0455      |
|    learning_rate        | 0.001        |
|    loss                 | 0.0062       |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0256      |
|    value_loss           | 0.538        |
------------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 48          |
|    n_steps              | 120         |
| rollout/                |             |
|    ep_len_mean          | 2.55        |
|    ep_rew_mean          | -0.542      |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 4           |
|    time_elapsed         | 150         |
|    total_timesteps      | 120         |
| train/                  |             |
|    approx_kl            | 0.017094344 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | -1.49       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0752     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0547     |
|    value_loss           | 0.115       |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 63         |
|    n_steps              | 150        |
| rollout/                |            |
|    ep_len_mean          | 2.42       |
|    ep_rew_mean          | -0.508     |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 5          |
|    time_elapsed         | 186        |
|    total_timesteps      | 150        |
| train/                  |            |
|    approx_kl            | 0.01841142 |
|    clip_fraction        | 0.24       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.89      |
|    explained_variance   | -0.601     |
|    learning_rate        | 0.001      |
|    loss                 | -0.112     |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0543    |
|    value_loss           | 0.0386     |
----------------------------------------
