Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.001_ns60_bs256_ep10_ia0_el4_ftfew_shot_20250326-133123
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 46       |
|    n_steps            | 60       |
| rollout/              |          |
|    ep_len_mean        | 1.27     |
|    ep_rew_mean        | -0.00982 |
|    success_rate       | 0.978    |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 78       |
|    total_timesteps    | 60       |
------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 96         |
|    n_steps              | 120        |
| rollout/                |            |
|    ep_len_mean          | 1.26       |
|    ep_rew_mean          | -0.0209    |
|    success_rate         | 0.979      |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 2          |
|    time_elapsed         | 148        |
|    total_timesteps      | 120        |
| train/                  |            |
|    approx_kl            | 0.02320855 |
|    clip_fraction        | 0.115      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.94      |
|    explained_variance   | -35.1      |
|    learning_rate        | 0.001      |
|    loss                 | -0.0672    |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0422    |
|    value_loss           | 0.114      |
----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 136         |
|    n_steps              | 180         |
| rollout/                |             |
|    ep_len_mean          | 1.34        |
|    ep_rew_mean          | -0.0754     |
|    success_rate         | 0.94        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 3           |
|    time_elapsed         | 215         |
|    total_timesteps      | 180         |
| train/                  |             |
|    approx_kl            | 0.009364209 |
|    clip_fraction        | 0.06        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | -0.935      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0625     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0346     |
|    value_loss           | 0.0177      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 179         |
|    n_steps              | 240         |
| rollout/                |             |
|    ep_len_mean          | 1.41        |
|    ep_rew_mean          | -0.11       |
|    success_rate         | 0.91        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 4           |
|    time_elapsed         | 290         |
|    total_timesteps      | 240         |
| train/                  |             |
|    approx_kl            | 0.013397753 |
|    clip_fraction        | 0.095       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.0103      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0428     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0305     |
|    value_loss           | 0.159       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 221         |
|    n_steps              | 300         |
| rollout/                |             |
|    ep_len_mean          | 1.43        |
|    ep_rew_mean          | -0.101      |
|    success_rate         | 0.92        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 5           |
|    time_elapsed         | 363         |
|    total_timesteps      | 300         |
| train/                  |             |
|    approx_kl            | 0.014831188 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.89       |
|    explained_variance   | -0.177      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0645     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0425     |
|    value_loss           | 0.143       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 255         |
|    n_steps              | 360         |
| rollout/                |             |
|    ep_len_mean          | 1.56        |
|    ep_rew_mean          | -0.109      |
|    success_rate         | 0.89        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 6           |
|    time_elapsed         | 435         |
|    total_timesteps      | 360         |
| train/                  |             |
|    approx_kl            | 0.010638458 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.0294      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0837     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0427     |
|    value_loss           | 0.0669      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 295         |
|    n_steps              | 420         |
| rollout/                |             |
|    ep_len_mean          | 1.55        |
|    ep_rew_mean          | -0.101      |
|    success_rate         | 0.89        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 7           |
|    time_elapsed         | 502         |
|    total_timesteps      | 420         |
| train/                  |             |
|    approx_kl            | 0.022297056 |
|    clip_fraction        | 0.313       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.85       |
|    explained_variance   | -0.104      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0552     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0444     |
|    value_loss           | 0.123       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 330         |
|    n_steps              | 480         |
| rollout/                |             |
|    ep_len_mean          | 1.65        |
|    ep_rew_mean          | -0.132      |
|    success_rate         | 0.85        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 8           |
|    time_elapsed         | 572         |
|    total_timesteps      | 480         |
| train/                  |             |
|    approx_kl            | 0.035474014 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.84       |
|    explained_variance   | -0.377      |
|    learning_rate        | 0.001       |
|    loss                 | -0.067      |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0481     |
|    value_loss           | 0.148       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 366         |
|    n_steps              | 540         |
| rollout/                |             |
|    ep_len_mean          | 1.67        |
|    ep_rew_mean          | -0.123      |
|    success_rate         | 0.84        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 9           |
|    time_elapsed         | 652         |
|    total_timesteps      | 540         |
| train/                  |             |
|    approx_kl            | 0.018175922 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | -0.314      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0325     |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0265     |
|    value_loss           | 0.148       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 415         |
|    n_steps              | 600         |
| rollout/                |             |
|    ep_len_mean          | 1.44        |
|    ep_rew_mean          | -0.075      |
|    success_rate         | 0.91        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 10          |
|    time_elapsed         | 720         |
|    total_timesteps      | 600         |
| train/                  |             |
|    approx_kl            | 0.014184774 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.81       |
|    explained_variance   | -0.368      |
|    learning_rate        | 0.001       |
|    loss                 | -0.053      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0381     |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 451         |
|    n_steps              | 660         |
| rollout/                |             |
|    ep_len_mean          | 1.49        |
|    ep_rew_mean          | -0.0966     |
|    success_rate         | 0.9         |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 11          |
|    time_elapsed         | 788         |
|    total_timesteps      | 660         |
| train/                  |             |
|    approx_kl            | 0.019856725 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | -0.431      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0783     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0488     |
|    value_loss           | 0.0689      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 484         |
|    n_steps              | 720         |
| rollout/                |             |
|    ep_len_mean          | 1.61        |
|    ep_rew_mean          | -0.14       |
|    success_rate         | 0.86        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 12          |
|    time_elapsed         | 868         |
|    total_timesteps      | 720         |
| train/                  |             |
|    approx_kl            | 0.025656115 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | 0.0616      |
|    learning_rate        | 0.001       |
|    loss                 | -0.03       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0402     |
|    value_loss           | 0.188       |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 535        |
|    n_steps              | 780        |
| rollout/                |            |
|    ep_len_mean          | 1.43       |
|    ep_rew_mean          | -0.0945    |
|    success_rate         | 0.89       |
| time/                   |            |
